name,description,module,path,canonicalId
"advanced-elicitation","Push the LLM to reconsider refine and improve its recent output. Use when the user asks for advanced elicitation.","core","_abm/core/workflows/advanced-elicitation/workflow.md","bmad-advanced-elicitation"
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_abm/core/workflows/brainstorming/workflow.md","bmad-brainstorming"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations. Use when user requests party mode.","core","_abm/core/workflows/party-mode/workflow.md","bmad-party-mode"
"create-product-brief","Create product brief through collaborative discovery. Use when the user says ""lets create a product brief"" or ""help me create a project brief""","bmm","_abm/bmm/workflows/1-analysis/create-product-brief/workflow.md","bmad-create-product-brief"
"domain-research","Conduct domain and industry research. Use when the user says ""lets create a research report on [domain or industry]""","bmm","_abm/bmm/workflows/1-analysis/research/workflow-domain-research.md","bmad-domain-research"
"market-research","Conduct market research on competition and customers. Use when the user says ""create a market research report about [business idea]"".","bmm","_abm/bmm/workflows/1-analysis/research/workflow-market-research.md","bmad-market-research"
"technical-research","Conduct technical research on technologies and architecture. Use when the user says ""create a technical research report on [topic]"".","bmm","_abm/bmm/workflows/1-analysis/research/workflow-technical-research.md","bmad-technical-research"
"create-prd","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","bmm","_abm/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md","bmad-create-prd"
"edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","bmm","_abm/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md","bmad-edit-prd"
"validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","bmm","_abm/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md","ABM-validate-prd"
"create-ux-design","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_abm/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md","bmad-create-ux-design"
"check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_abm/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md","bmad-check-implementation-readiness"
"create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_abm/bmm/workflows/3-solutioning/create-architecture/workflow.md","bmad-create-architecture"
"create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_abm/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md","bmad-create-epics-and-stories"
"code-review","Perform adversarial code review finding specific issues. Use when the user says ""run code review"" or ""review this code""","bmm","_abm/bmm/workflows/4-implementation/code-review/workflow.yaml","bmad-code-review"
